date,open,high,low,close,volume,Name
2015-03-24,75.46,76.25,75.23,75.61,4899932,LOW
2014-03-10,77.28,77.9,77.11,77.88,2986435,UNH
2013-04-11,12.65,12.85,12.3,12.77,24229958,NVDA
2014-10-06,85.63,85.86,84.36,84.66,1142929,INTU
2016-12-09,75.18,76.27,75.155,76.19,488643,PNW
2015-12-16,38.02,38.4,37.52,38.33,5641842,BBT
2013-02-25,40.45,40.92,40.2,40.21,1491846,WEC
2015-11-24,31.21,31.95,31.19,31.34,47529204,SYF
2015-12-18,27.48,28.23,27.39,27.69,10819898,ARNC
2013-07-29,48.78,48.825,47.585,47.93,450775,VMC
2014-11-05,42.06,42.55,41.93,42.28,2615551,NLSN
2013-02-27,103.53,106.31,103.53,105.6,2600723,MCK
2015-07-21,33.32,33.37,32.79,33.06,3664290,CMS
2017-04-17,37.61,37.65,37.0375,37.32,1127092,KORS
2016-05-17,135.02,137.0,133.45,134.41,1231229,UHS
2016-12-07,119.72,122.54,119.4,122.26,2813600,PX
2015-09-18,33.285,33.69,33.055,33.48,3144476,BLL
2017-11-06,68.27,68.45,67.87,68.22,995731,A
2015-05-04,77.73,77.81,76.83,77.31,2038082,DLTR
2017-06-09,65.44,66.25,64.505,65.02,4855759,DISH
2016-07-29,40.8,41.28,40.28,41.2,5370596,XRX
2014-05-20,26.03,26.08,24.57,24.66,8826913,BBY
2017-09-08,63.1,63.66,62.96,63.49,1127778,ES
2013-09-03,69.82,70.3,68.79,69.23,2446761,AMT
2014-02-05,55.38,55.845,54.621,55.73,1351857,FISV
2015-03-05,85.33,85.75,85.15,85.35,714349,TSCO
2015-10-14,55.0,55.68,54.25,54.39,2665116,HOG
2017-11-20,310.2,315.57,310.0101,314.65,902098,LMT
2016-06-14,124.33,124.66,123.88,124.38,1415755,CB
2015-06-24,88.79,88.81,88.07,88.17,3413646,CAT
2017-01-04,32.11,33.04,32.04,33.04,5479475,CF
2015-05-06,51.24,51.365,50.18,50.3,995305,PKI
2015-09-08,74.58,74.62,73.56,74.3,5647846,CAT
2016-11-02,105.89,107.93,105.28,105.7,2248337,AET
2013-05-07,31.265,31.265,30.855,31.095,7495628,SBUX
2017-06-01,54.91,55.7,54.5301,55.54,1698667,O
2017-08-31,159.77,160.0,159.35,159.97,2717014,MCD
2015-03-06,24.3,24.41,23.14,23.3,11443728,NEM
2013-03-20,28.6,28.76,28.44,28.6,3234655,IVZ
2013-12-27,55.73,55.99,55.485,55.83,696573,BWA
2013-08-23,62.7,62.76,62.14,62.43,411684,EFX
2014-05-27,67.18,67.43,66.93,67.24,1334881,VTR
2015-09-18,61.83,61.83,60.78,60.94,31008001,JPM
2014-10-31,59.46,59.825,59.2,59.76,1313153,VRSN
2015-08-10,102.99,107.9499,102.43,107.36,3497958,ANDV
2017-07-14,157.31,160.93,157.31,160.73,1365376,SPG
2018-01-30,14.9,15.08,14.425,14.63,19163142,RRC
2017-03-03,72.09,72.11,70.88,71.58,2850724,ESRX
2016-12-01,114.0,114.49,111.68,112.05,1156664,AON
2017-10-10,20.6165,20.6165,20.4195,20.57,6676468,HPQ
2016-12-13,158.95,161.25,158.545,160.73,692959,AMG
2015-07-13,156.42,156.77,155.65,156.47,2107208,MMM
2014-02-25,60.0,60.0,58.39,59.0,2696852,AVGO
2015-06-24,33.26,33.35,32.95,32.98,10650192,FOXA
2013-10-10,56.57,57.1,56.519,57.1,800786,FTI
2013-04-29,24.49,24.69,24.29,24.61,4925628,CSX
2017-04-17,43.68,43.96,43.55,43.88,694877,PDCO
2016-12-07,40.36,40.36,39.83,39.93,1783105,PDCO
2016-02-03,12.7,12.85,12.35,12.69,1637181,NWS
2014-03-18,79.84,80.08,79.5099,79.77,7703150,PG
2013-09-13,43.38,44.09,43.31,44.05,625876,EXR
2013-06-07,178.53,180.46,177.25,178.37,895087,ADS
2014-04-17,57.48,57.6,56.32,56.5,2691654,ED
2014-03-25,70.39,71.3,70.34,71.14,2259041,CAH
2016-10-20,26.44,26.69,26.36,26.48,2160882,GPS
2014-08-18,33.74,33.96,33.685,33.87,766866,CHD
2017-11-02,95.89,98.21,95.4,97.85,3935302,ALL
2013-10-31,64.77,65.33,64.65,64.98,3363833,AFL
2015-04-29,127.36,128.05,126.54,127.13,1641954,TMO
2013-04-15,45.92,46.12,44.855,45.005,529408,HSIC
2014-03-07,49.37,49.38,48.01,48.23,1217797,EXR
2017-07-20,18.57,18.61,18.04,18.05,8604305,HST
2013-04-30,37.28,37.61,37.185,37.57,3936668,CTL
2015-02-04,71.8,72.87,71.72,72.58,3677435,ALL
2015-08-21,301.7,305.84,292.0427,298.57,4663262,AGN
2014-06-17,58.76,59.33,58.63,59.25,2805731,LLY
2018-01-22,109.15,109.68,108.46,108.81,4762264,PM
2013-07-02,59.37,59.58,58.98,59.29,444515,EFX
2014-12-05,181.29,181.29,179.295,180.83,1342803,SPG
2018-01-26,67.35,68.35,67.12,68.14,1103147,KORS
2015-01-08,70.49,71.18,69.84,71.13,1648848,DOV
2015-12-31,72.97,74.77,72.74,73.65,801756,PVH
2016-04-14,62.19,62.66,61.5,61.59,7386493,MO
2015-03-13,122.81,124.11,122.2901,123.88,740317,SIG
2013-07-11,71.34,72.21,71.13,72.04,829176,MKC
2017-12-07,90.86,91.61,90.63,91.35,1023696,HAS
2016-07-21,32.75,33.19,32.75,32.85,625364,FLIR
2016-05-25,128.0,129.78,127.37,128.86,4656798,BA
2016-10-07,32.855,32.865,32.48,32.68,14943236,CMCSA
2017-01-27,65.21,65.21,64.27,64.55,896061,DVA
2015-10-30,30.68,30.68,30.3,30.5,184226,INFO
2013-03-26,81.83,82.11,81.16,81.19,826926,SWK
2016-06-07,56.22,58.44,56.13,58.21,4089163,APA
2017-11-29,155.87,155.96,153.1781,154.22,2266589,INTU
2016-06-06,44.65,45.15,43.87,45.08,3951830,HOG
2016-07-12,26.82,27.44,26.79,27.37,15516934,MS
2018-02-01,94.91,95.89,94.1142,94.54,1932510,MCHP
2016-01-14,724.44,739.89,705.0,731.39,2777868,GOOGL
2015-10-07,42.42,42.62,41.675,42.19,1473025,AJG
2015-08-04,11.73,11.83,11.66,11.67,7781653,HBAN
2017-02-27,108.03,108.44,107.46,107.61,670981,DLR
2017-07-31,132.14,133.58,132.1,132.72,5440788,JNJ
2016-06-21,25.09,25.455,25.03,25.3,2666219,NI
2015-02-25,46.2,46.58,46.01,46.48,2037171,NLSN
